Key ICT indicators for the ITU/BDT regions (totals and penetration rates);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Millions;;;;;;;;;;;;;;;;;;;;;Per 100 inhabitants ;;;;;;;;;;;;;;;;;;;;;;;
 Africa ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 1 ; 10 ; 22 ; 70 ; 134 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0,1;0,9;1,9;5,9;11,0;;;;
 Americas ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 358 ; 424 ; 488 ; 564 ; 662 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;35,1;41,4;47,3;54,4;63,4;;;;
 Arab States ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 35 ; 39 ; 46 ; 52 ; 62 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;7,6;8,5;9,7;10,9;12,7;;;;
 Asia-Pacific ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 127 ; 677 ; 1 582 ; 2 434 ; 2 763 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2,9;15,5;36,0;55,1;62,3;;;;
 CIS ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 1 ; 4 ; 6 ; 10 ; 30 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0,4;1,6;2,5;3,8;12,0;;;;
 Europe ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 190 ; 311 ; 395 ; 445 ; 502 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;27,6;45,1;57,1;64,2;72,3;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Exabytes*;;;;;;;;;;;;;;;;;;;;;Per subscription (GB);;;;;;;;;;;;;;;;;;;;;;;
Fixed broadband traffic(Exabytes);2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
 Africa ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 5 ; 7 ; 10 ; 13 ; 17 ; 21 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;925;1 175;1 439;1 567;1 636;1 906;;;;
 Americas ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 487 ; 624 ; 802 ; 1 020 ; 1 129 ; 1 335 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2 260;2 677;3 222;3 935;4 209;4 820;;;;
 Arab States ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; 54 ; 74 ; 144 ; 185 ; 220 ; 266 ;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1 636;1 913;3 230;3 713;3 989;4 463;;;;
